booking_id,external_booking_ref,customer_name,customer_email,service,service_code,booking_date,start_time,end_time,checkin_time,checkout_time,location,channel,source_system,staff_assigned,dog_name,dog_breed,dog_weight,dog_gender,temperament,medication,food_preference,special_instructions,promo_code,discount,price,tax_rate,is_cancelled,cancel_reason,is_repeat_customer,customer_rating,customer_feedback,created_at,updated_at,notes
299,LEGACY-BHD3CM,oscar berg,oscarber569@company.se,VET SHUTTLE,VS,04-01-2024,08:00 AM,09:00,09:08 AM,17:10,Huddinge,partner,form,NULL,Charlie,MIXED,38.0,U,reactive,insulin,,separate from big dogs,,,20,25%,no,no show,Y,5 ,,Dec 25 2023,2024.01.05,NaN
300,,Fatima Khan,fatimakh27@email.com,Vet Shuttle,NULL,12-03-2024,13.00,15:00,09:05,17:10,n/a,walk-in,,Greta,Charlie,Poodle,6.7,M,aggressive,antibiotics,,no treats,newyear,10%,20,0.25,No,,,NULL,,03/06/2024,12 Mar 2024,late pickup fee applied
301,,Emma Johansson,emmajoha610@email.com,Daycare,NaN,01/08/2024,10.00,11.00,,NaN,NaN,IG,sheets,Anna,Max,French Bulldog,NaN,U,shy,none,,,newyear,10%,60kr,,,no show,Y,5,,Jan 05 2024,2024-11-01,VIP
302,NULL,oscar berg,oscarber@email.com,Vet Shuttle,VS,27 Mar 2024,10.00,12:00,n/a,17:22,Stockholm,email,sheets,Greta,Milo,Golden Retriever,,M,NULL,NULL,raw,handle with care,WELCOME10,10%,20,25%,No,weather,NULL,,ok,18 Mar 2024,2024.03.31,
303,NULL,AHMED ALI,ahmedali255@outlook.com,Daycare,DC,2024.04.14,09.00,17.00,08:51,n/a,STOCKHOLM,partner,excel,Johan,Rocky,MIXED,NaN,female,anxious,antibiotics,kibble,,newyear,0,25,,No,,yes,4,,2024-04-04,,first visit
304,NaN,David Stone,davidsto285@company.se,GROOMING,,13/01/2024,,10:00,08:41 AM,17.45,,email,export_v1,Greta,,Dachshund,NULL,M,,,hypoallergenic,NaN,,5,40,25%,,,,,great!,2024/01/12,Jan 18 2024,late pickup fee applied
305,LEGACY-2RZRX1,mariam ali,mariamal755@email.com,BOARDING,BD,03/10/2024,19.00,10.00,09:05,,Sundbyberg,partner,pos_export,Anna,Milo,Beagle,12kg,male,,antibiotics,,NaN,VIP5,10%,60,"0,25",,,no,4,,NaN,2024.03.13,VIP
306,BK_PHT28C8C,pedro silva,pedrosil633@company.se,Training,TR,Mar 09 2024,10:00 AM,12:0,09:05,16.39,Täby,instagram,sheets,Ida,Rocky,MIXED,unknown,male,aggressive,NaN,n/a,n/a,,n/a,35,25%,YES,NaN,yes,5,NaN,07 Mar 2024,10-03-2024,NaN
307,,FATIMA KHAN,fatimakh@gmail.com,Nail Trim,NT,2024/01/04,10:00 AM,11.00,,,Stockholm,phone,export_v2,n/a,Max,German Shepherd,unknown,M,aggressive,,hypoallergenic,no treats,,NaN,15,,,weather,,4,great!,Jan 04 2024,07-01-2024,late pickup fee applied
308,BK_ITBLJITX,David Stone,n/a,boarding,BD,2024.02.14,18.00,10.00,09:05,17:10,Sthlm,insta,pos_export,Johan,Charlie,Poodle,42.9,F,NaN,,kibble,handle with care,NaN,,60,,,weather,,NaN,n/a,2024.02.08,19 Feb 2024,
309,, Emma Johansson ,,boarding,BD,22/02/2024,18.00,09:00 AM,,17:10,Stockholm,IG,export_v2,NULL,Bella,NULL,unknown,male,,insulin,,,n/a,,60.0,,YES,,Y,NULL,,13/02/2024,2024-02-25,late pickup fee applied
310,,AHMED ALI,ahmedali@email.com,boarding,NULL,15/03/2024,19.00,NULL,09:05,,Solna,IG,,Anna,Max,Golden Retriever,unknown,,reactive,antibiotics,hypoallergenic,separate from big dogs,,0,60,0.25,no,n/a,no,,late pickup,12/03/2024,2024-03-16,
311,n/a,ERIK HOLM,erikholm288@gmail.com,DAYCARE,DC,04 Feb 2024,16.00,00:00,,17:10,Sundbyberg,IG,export_v1,Greta,Rocky,n/a,n/a,U,playful,insulin,raw,separate from big dogs,,10%,25,25%,1,no show,no,2,late pickup,02/02/2024,06-02-2024,late pickup fee applied
312,,luis pérez,NaN,Boarding,,2024.04.05,07:00 PM,11:00,NULL,,Sundbyberg,email,sheets,Björn,Charlie,Mixed,25.8,M,unknown,NaN,n/a,n/a,,NaN,NULL,25%,1,no show,NaN,,ok,27/03/2024,2024/04/07,
313,,FATIMA  KHAN,fatimakh509@gmail.com,Training,TR,05-02-2024,09.00,10:00 AM,08:41 AM,16.47,STOCKHOLM,website,,Ida,,Poodle,unknown,male,NaN,insulin,kibble,separate from big dogs,newyear,5,35,25%,yes,,N,,,2024-01-31,Feb 06 2024,NaN
314,,NORA HANSEN,norahans647@email.com,GROOMING,GR,28-04-2024,16.00,00.00,09:05,,Sthlm,email,export_v1,Felix,Coco,n/a,35.3,F,anxious,,,NULL,VIP5,0,40,"0,25",YES,NaN,,,great!,2024.04.25,29-04-2024,first visit
315,BK_2OYHZ3UG,david  stone,davidsto731@email.com,boarding,BD,2024/01/18,19:00,11:00,,,Sundbyberg,website,form,NaN,Max,mix,,Unknown,anxious,none,kibble,handle with care,VIP5,5,60,,,NaN,Y,5,great!,01/15/2024,2024/01/21,
316,,NOAH  ERIKSSON,noaherik581@email.com,Grooming,GR,2024-03-17,10:00,11:00 AM,,NaN,Sthlm,instagram,form,David,Charlie,Golden Retriever,,M,NaN,antibiotics,raw,,WELCOME10,,40,"0,25",,NULL,,5,,14 Mar 2024,22-03-2024,VIP
317,BK_752TVRFV,Ella Berg,ellaberg@email.com,BOARDING,NULL,01/10/2024,19.00,11:00 AM,n/a,,Nacka,IG,sheets,Elise,,mix,,,unknown,,,,WELCOME10,10,60,,no,,,,NaN,31/12/2023,12 Jan 2024,late pickup fee applied
318,BK_IXMEVAYK,liam andersson,liamande293@outlook.com,DAYCARE,DC,2024-08-02,09.00,17:00,09:05,,Stockholm,IG,export_v1,Björn,Charlie,French Bulldog,,male,,insulin,kibble,,WELCOME10,n/a,25,"0,25",0,weather,,4,ok,30 Jan 2024,2024.02.11,VIP
319,,LIN CHEN,linchen@email.com,Nail Trim,NT,,09.00,10:00 AM,09:05,17:10,Sthlm,walk-in,excel,,,,,,calm,none,,no treats,newyear,,15,0.25,,,Y,,,2024-03-25,04/04/2024,
320,BK_ZFGVCH1S,oscar berg,oscarber@gmail.com,Vet Shuttle,VS,2024.04.07,09.00,17.00,,,Sundbyberg,instagram,export_v1,Anna,Rocky,Husky,14.0,female,reactive,,NaN,NULL,,n/a,20,,0,sick dog,yes,5,,28-03-2024,11/04/2024,late pickup fee applied
321,,maría lopez,NULL,Boarding,BD,Apr 25 2024,17:30,09:30,,n/a,Solna,email,excel,Felix,,Mixed,36.8,F,reactive,,,,NaN,n/a,60,,1,,NULL,3,,15/04/2024,Apr 29 2024,first visit
322,BK_O04LYYEX,oskar berg,oskarber957@company.se,nail trim,NT,09/02/2024,10.00,06:00 PM,09.39,,Huddinge,IG,excel,Elise,Rocky,Golden Retriever,NaN,,calm,none,,handle with care,,,15,25%,NaN,n/a,n/a,,,2024-02-02,09 Feb 2024,NaN
323,,Emma Johansson,emmajoha@email.com,Vet Shuttle,VS,13-04-2024,10:00,18.00,,,Stockholm,email,export_v1,Greta,,,n/a,Unknown,unknown,antibiotics,,separate from big dogs,newyear,5,20,0.25,No,NULL,,3,NULL,04/08/2024,16/04/2024,NULL
324,,fatima khan,fatimakh27@email.com,Nail Trim,NT,04 Feb 2024,04:00 PM,17:00,,04:38 PM,,instagram,export_v1,Clara,Coco,NULL,unknown,U,shy,,hypoallergenic,,newyear,10%,15,,,,yes,5 ,NULL,n/a,08/02/2024,VIP
325,,Noah Eriksson,noaherik618@outlook.com,grooming,GR,02/22/2024,09:00 AM,NULL,,,Täby,instagram,,Clara,,Chihuahua,unknown,Unknown,NaN,,,,,,40,0.25,no,,,NULL,late pickup,16/02/2024,Feb 26 2024,first visit
326,LEGACY-URRK71,Sofia Andersson,sofiaand383@gmail.com,Training,TR,Feb 19 2024,09.00,11:00 AM,,17.40,Stockholm,insta,export_v1,Felix,Milo,French Bulldog,,male,unknown,,kibble,,newyear,,35,"0,25",0,,N,n/a,NaN,Feb 13 2024,2024.02.24,
327,,jonas nilsson,jonasnil671@email.com,grooming,GR,2024.03.21,16.00,00:00,,17:10,Stockholm,,export_v1,Anna,Max,MIXED,12kg,male,aggressive,NULL,,no treats,VIP5,NaN,40,,yes,,N,,,2024/03/14,21 Mar 2024,
328,LEGACY-ZYFIA1,NORA HANSEN,,Nail Trim,,2024-03-18,08:00 AM,16.00,08.57,n/a,Huddinge,,export_v2,Johan,Bella,,12kg,male,,,,,n/a,10%,15,,,sick dog,Y,2,n/a,03/16/2024,Mar 18 2024,late pickup fee applied
329,,Fatima  Khan,fatimakh@gmail.com,Grooming,GR,04/26/2024,08.00,09:00 AM,,04:37 PM,Stockholm,insta,export_v2,Björn,Milo,,NaN,male,PLAYFUL,insulin,,handle with care,,0,40,"0,25",YES,no show,yes,2,NaN,,01 May 2024,VIP
330,BK_6GBOL0SW,Nora Hansen,norahans647@email.com,boarding,,Jan 25 2024,18:00,9:0,NULL,NULL,Sundbyberg,phone,excel,Anna,Milo,Dachshund,12kg,M,calm,,raw,handle with care,VIP5,5,60,,YES,sick dog,Y,3,,,29/01/2024,
331,BK_HKXDCOVY,sofia andersson,sofiaand221@company.se,Daycare,DC,2024.04.07,09:00,10:00 AM,,,Stockholm,phone,pos_export,,Coco,Golden Retriever,4.3,M,NaN,NaN,,,WELCOME10,,25,"0,25",yes,n/a,yes,,great!,n/a,2024/04/08,VIP
332,LEGACY-9DYERX, JONAS NILSSON ,jonasnil671@email.com,Training,TR,01/11/2024,09:00 AM,10:00 AM,,17:21,,walk-in,export_v1,,NULL,Chihuahua,8.0,U,calm,antibiotics,raw,,NULL,10,35,0.25,No,,,5,great!,2024/01/06,Jan 14 2024,first visit
333,BK_JTA6C064,Oscar Berg,oscarber650@outlook.com,GROOMING,GR,2024.01.07,09:00 AM,10.00,,17:10,Sthlm,website,sheets,Anna,Max,Husky,29.1,Unknown,shy,,,,WELCOME10,10,40,,no,sick dog,yes,1,,2024/01/06,01/12/2024,
334,BK_02I6UK1Y,Mikael Åström,mikaelås584@company.se,BOARDING,BD,24/02/2024,17:30,09:30 AM,,NULL,,phone,pos_export,,Rocky,Chihuahua,,Unknown,PLAYFUL,antibiotics,hypoallergenic,handle with care,n/a,,60,0.25,,,no,1,,Feb 17 2024,02/27/2024,
335,BK_D5OQC5CQ,luis pérez,luispere582@gmail.com,,,29-01-2024,08.00,04:00 PM,,NULL,Stockholm,insta,sheets,Björn,Milo,Golden Retriever,,U,unknown,antibiotics,kibble,no treats,,,35,25%,YES,no show,yes,,great!,2024.01.21,2024/02/03,n/a
336,,pedro silva,NULL,Nail Trim,NT,01-04-2024,10.00,11.00,,17:32,Huddinge,NaN,export_v1,Elise,Milo,,,F,shy,NaN,,handle with care,newyear,0,,25%,,weather,NaN,2,ok,Mar 29 2024,NaN,first visit
337,,oscar berg,oscarber281@gmail.com,Grooming,NaN,2024-04-23,09:00,05:00 PM,09:11,17:10,,website,export_v1,Hugo,Max,Poodle,,F,anxious,NaN,kibble,no treats,newyear,NULL,40,"0,25",,,,3,,04/16/2024,2024-04-25,late pickup fee applied
338,,LIN CHEN,linchen450@email.com,Daycare,DC,2024.02.14,08:00,10:00 AM,,17:10,Täby,,,David,Milo,NaN,unknown,M,aggressive,antibiotics,,,VIP5,,25,25%,1,,NULL,,ok,14/02/2024,02/15/2024,
339,BK_KKD2D96I,Elin Svensson,elinsven@gmail.com,nail trim,NT,12-02-2024,09:00,11:00,09.30,17:10,Stockholm,walk-in,excel,Hugo,Luna,mix,,M,aggressive,,kibble,separate from big dogs,,0,15,,NaN,n/a,n/a,,late pickup,2024-02-12,2024.02.16,
340,,FRIDA KARLSSON,fridakar22@company.se,Grooming,GR,2024.03.21,10:00 AM,11:00 AM,09:05,17:10,Nacka,website,pos_export,,Milo,Chihuahua,32.7,Unknown,reactive,antibiotics,raw,,VIP5,NaN,40,,yes,NULL,,,late pickup,,24 Mar 2024,late pickup fee applied
341,LEGACY-9SSEQ7,Sara Lind,saralind@gmail.com,Grooming,GR,2024.02.20,9:0,11.00,,17:49,,walk-in,pos_export,Greta,Bella,German Shepherd,n/a,U,NULL,insulin,,no treats,VIP5,,40,,No,,,,,2024/02/17,22 Feb 2024,VIP
342,,JONAS NILSSON,jonasnil950@outlook.com,Training,TR,Mar 13 2024,13:0,02:00 PM,,,Huddinge,partner,pos_export,Elise,Charlie,,27.2,female,,n/a,NULL,handle with care,,,,0.25,NaN,,,3,ok,03-03-2024,NULL,n/a
343,,,karinlun374@outlook.com,VET SHUTTLE,VS,2024/01/29,08:00 AM,10.00,09:05,,Sthlm,email,excel,,Milo,Beagle,12kg,M,unknown,,kibble,NULL,,,20,"0,25",0,,no,1,great!,01/27/2024,2024-02-02,first visit
344,,Luis Perez,luispere513@gmail.com,grooming,GR,27/02/2024,13:00,03:00 PM,NULL,,,insta,pos_export,,Coco,,,F,calm,,NULL,handle with care,WELCOME10,0,40,,No,NULL,N,n/a,,27/02/2024,2024-02-27,
345,BK_0876024P,Sofia  Andersson,sofiaand@email.com,GROOMING,GR,27-03-2024,10:00 AM,12:00 PM,09:05,16:46,Täby,partner,form,Björn,Charlie,,,F,,none,hypoallergenic,handle with care,VIP5,5,,,No,no show,,NULL,NaN,2024/03/25,,late pickup fee applied
346,LEGACY-FBZ753,SOFIA ANDERSSON,sofiaand369@gmail.com,Daycare,DC,29 Apr 2024,13:00,21.00,,17:10,Huddinge,website,pos_export,Elise,Rocky,,,U,reactive,none,NaN,,,,25,25%,,NULL,N,NULL,NaN,2024/04/28,n/a,late pickup fee applied
347,BK_OY760TKL,lin chen,linchen129@outlook.com,grooming,GR,16/01/2024,10:00 AM,99:99,09:05,,Sundbyberg,website,export_v1,,Bella,Husky,unknown,Unknown,shy,,,separate from big dogs,NULL,,40,"0,25",1,NULL,Y,NULL,,06 Jan 2024,2024-01-20,
348,BK_M2KON8U3,LIAM  ANDERSSON,liamande822@email.com,Daycare,n/a,Mar 03 2024,08.00,10:00,08.59,17:10,,walk-in,pos_export,Björn,,,NaN,male,anxious,insulin,,separate from big dogs,,,,,0,,Y,NULL,great!,25 Feb 2024,NaN,late pickup fee applied
349,,frida  karlsson,fridakar136@outlook.com,TRAINING,TR,04/12/2024,25:00,21:00,,,Huddinge,insta,form,,Rocky,,12kg,female,unknown,,kibble,,WELCOME10,n/a,35,"0,25",0,sick dog,,3,,04/05/2024,13/04/2024,
350,LEGACY-EVQBZ1,Elin  Svensson,elinsven84@outlook.com,Vet Shuttle,VS,01/02/2024,16.00,05:00 PM,9:15,,Stockholm,phone,,Clara,Luna,Poodle,,male,anxious,antibiotics,,,WELCOME10,0,20,25%,n/a,NULL,no,2,ok,25-12-2023,01/07/2024,
351,BK_OKBUWFJE,LIAM  ANDERSSON,n/a,vet shuttle,VS,2024.01.01,13.00,n/a,09:12 AM,17:10,Solna,email,export_v1,David,Bella,n/a,,U,PLAYFUL,antibiotics,,,WELCOME10,,20,,1,,no,,,12/31/2023,2024.01.01,
352,LEGACY-T4U61T,Ella  Berg,ellaberg691@outlook.com,grooming,GR,2024/01/08,08.00,09:00,,05:59 PM,,email,,,Luna,mix,12kg,Unknown,calm,,NaN,separate from big dogs,,,40,,0,,NULL,NULL,,31 Dec 2023,12/01/2024,first visit
353,LEGACY-QI59S9,maria  lopez,NaN,Boarding,BD,2024/04/20,19.00,11.00,09:05,n/a,Täby,IG,sheets,Felix,,Husky,,female,reactive,,kibble,,WELCOME10,,60,,0,weather,yes,,late pickup,n/a,2024/04/22,VIP
354,,oscar  berg,NULL,Boarding,BD,2024.01.28,17.30,08.30,,16:52,Nacka,walk-in,export_v2,Hugo,,,unknown,M,aggressive,antibiotics,hypoallergenic,n/a,,,60,"0,25",,,yes,3,late pickup,01/26/2024,02/02/2024,
355,LEGACY-PINYSU,David  Stone,davidsto731@email.com,VET SHUTTLE,VS,20 Mar 2024,04:00 PM,18.00,,,,instagram,pos_export,Elise,Bella,French Bulldog,n/a,NULL,playful,,kibble,separate from big dogs,,0,NULL,,no,NULL,,3,ok,16-03-2024,Mar 24 2024,
356,LEGACY-BOCU86, Elin Svensson ,elinsven604@outlook.com,BOARDING,BD,22 Apr 2024,05:30 PM,08.30,,16.34,,instagram,form,,Max,,12kg,U,unknown,,kibble,handle with care,,5,60,"0,25",,,,1,,,Apr 24 2024,late pickup fee applied
357,,NaN,pedrosil@email.com,Nail Trim,NT,2024-03-10,09:00 AM,11.00,09:05,05:12 PM,Täby,IG,sheets,Greta,Charlie,Poodle,,Unknown,playful,,raw,NaN,,,15,,0,n/a,NaN,5 ,n/a,02/29/2024,03/15/2024,
358,BK_58ETB3KW,frida karlsson,fridakar224@outlook.com,Boarding,BD,2024.01.15,07:00 PM,11.00,,,Stockholm,NaN,export_v2,David,Charlie,NaN,,M,unknown,insulin,,,,,,,yes,sick dog,N,n/a,NULL,01/05/2024,,n/a
359,, Sara Lind ,saralind687@company.se,DAYCARE,DC,11 Mar 2024,09.00,11:00 AM,,,Stockholm,email,,NULL,Bella,Husky,12kg,male,,NaN,NaN,separate from big dogs,VIP5,,25,"0,25",No,NaN,,4,,Mar 01 2024,03/13/2024,late pickup fee applied
360,,frida karlsson,fridakar22@company.se,daycare,DC,14-04-2024,16:00,18.00,,17:10,Huddinge,,pos_export,Elise,Milo,French Bulldog,12kg,female,aggressive,n/a,,,WELCOME10,5,25,"0,25",1,sick dog,no,3,ok,12 Apr 2024,NaN,
361,NULL,Mariam Ali,mariamal123@company.se,Training,TR,27-04-2024,10:00 AM,18.00,,,Sthlm,email,sheets,Felix,,German Shepherd,,n/a,anxious,n/a,raw,,,,35,25%,No,no show,Y,1,n/a,20/04/2024,04/30/2024,first visit
362,,jonas nilsson,jonasnil@email.com,VET SHUTTLE,VS,17 Apr 2024,08.00,09:00,NaN,16:49,Nacka,email,sheets,,Milo,Golden Retriever,12.5,male,shy,,hypoallergenic,NaN,n/a,10,20,0.25,0,NaN,n/a,NULL,n/a,07 Apr 2024,22-04-2024,
363,,David Stone,davidsto898@outlook.com,grooming,GR,2024/02/28,10:00,18.00,NULL,17:10,Nacka,phone,excel,Felix,,Golden Retriever,12kg,M,aggressive,,hypoallergenic,NULL,WELCOME10,,40,,no,sick dog,N,,great!,02/26/2024,03/04/2024,
364,,María lopez,NULL,training,TR,2024-04-11,08:00,10:00 AM,,17:10,Täby,website,sheets,,Bella,Husky,,male,anxious,none,NULL,separate from big dogs,VIP5,0,35,25%,,no show,,5 ,late pickup,2024/04/09,Apr 16 2024,VIP
365,BK_L42U1HQU,ahmed  ali,ahmedali956@outlook.com,Daycare,DC,13 Jan 2024,10:00,11:00 AM,,17:10,Stockholm,website,form,David,Max,Golden Retriever,NULL,,n/a,,raw,,,10%,25,,,,no,,NaN,13-01-2024,01/14/2024,
366,LEGACY-WOBPPM, NORA HANSEN ,norahans841@company.se,Vet Shuttle,VS,06-02-2024,09.00,n/a,,,Stockholm,phone,export_v1,NaN,Bella,MIXED,16.1,female,reactive,,,no treats,WELCOME10,10,20,25%,YES,weather,,5 ,ok,2024.01.29,2024-02-11,
367,n/a,SARA LIND,saralind@gmail.com,vet shuttle,,06-01-2024,10.00,12.00,n/a,16.42,STOCKHOLM,website,excel,Johan,Bella,Mixed,12kg,,playful,,,,WELCOME10,,20,25%,YES,sick dog,no,4,n/a,NULL,2024/01/10,NULL
368,BK_IKJ1DRLJ,,saralind641@company.se,VET SHUTTLE,VS,03/25/2024,16:00,05:00 PM,,17:31,STOCKHOLM,instagram,pos_export,,,Mixed,12kg,Unknown,playful,n/a,,,WELCOME10,,20,,No,,,5,,2024/03/25,27-03-2024,VIP
369,,Sofia Andersson,sofiaand369@gmail.com,DAYCARE,DC,2024.01.22,16:00,00:00,,,Huddinge,,excel,Anna,Bella,Mixed,12kg,,aggressive,insulin,hypoallergenic,,newyear,10,,,No,,yes,,NULL,14-01-2024,Jan 26 2024,first visit
370,,Lin Chen,,GROOMING,GR,Apr 15 2024,13.00,21:00,,,NULL,n/a,,Björn,Milo,n/a,unknown,U,shy,none,hypoallergenic,,,0,"25,00",0.25,1,,no,4,,2024/04/13,Apr 18 2024,late pickup fee applied
371,LEGACY-Z5RX7R,Mariam Ali,mariamal123@company.se,training,TR,2024.01.14,09:00,17:00,,17:10,Sundbyberg,email,export_v2,David,Bella,,12kg,male,NaN,,raw,n/a,newyear,,35,,1,NULL,no,NaN,,,15 Jan 2024,
372,,jonas nilsson,jonasnil31@outlook.com,Training,TR,09 Mar 2024,13.00,14:00,,,Täby,insta,,Felix,,German Shepherd,38.9,female,playful,none,hypoallergenic,,,,35,"0,25",YES,NaN,,,great!,Mar 04 2024,13-03-2024,
373,,Elin Svensson,elinsven653@email.com,VET SHUTTLE,VS,22/02/2024,10:00 AM,12.00,NULL,,Stockholm,instagram,form,,Milo,Chihuahua,,n/a,unknown,antibiotics,raw,NULL,,0,20,,0,,,5 ,,12-02-2024,02/22/2024,VIP
374,n/a,Liam Andersson,liamande293@outlook.com,GROOMING,GR,26 Apr 2024,04:00 PM,17.00,,,Sundbyberg,IG,excel,Greta,Coco,Dachshund,,F,anxious,antibiotics,hypoallergenic,no treats,NaN,,40,"0,25",No,,Y,5,,22-04-2024,05/01/2024,late pickup fee applied
375,n/a,Ahmed  Ali,ahmedali789@outlook.com,NAIL TRIM,NT,NaN,,05:00 PM,NULL,,,walk-in,export_v2,Hugo,Coco,Poodle,,female,playful,antibiotics,,,,5,15,25%,,NaN,,5 ,ok,05/32/2024,2024/02/27,n/a
376,,Liam Andersson,liamande101@company.se,NULL,TR,2024/02/26,16:00,0:0,,,,phone,export_v1,Elise,n/a,Dachshund,12kg,F,anxious,,,NaN,newyear,,35,,1,sick dog,,,late pickup,20 Feb 2024,2024-02-26,
377,,Lin Chen,,NAIL TRIM,NT,2024-02-27,04:00 PM,05:00 PM,,,Solna,NULL,form,Elise,,German Shepherd,NaN,Unknown,calm,none,,,,n/a,15,,,,no,NULL,late pickup,2024-02-18,2024.03.03,VIP
378,,ella berg,ellaberg@email.com,Boarding,BD,2024/02/28,18:00,10:00,09:05,17:10,Stockholm,website,export_v1,Elise,Bella,Dachshund,,male,NaN,,kibble,separate from big dogs,,5,60,"0,25",1,sick dog,,,,18/02/2024,2024-03-01,late pickup fee applied
379,BK_2RT8UKXT,Liam  Andersson,liamande822@email.com,VET SHUTTLE,VS,28/01/2024,08.00,n/a,09:05,NaN,Solna,website,,Clara,Rocky,Mixed,43.5,Unknown,aggressive,insulin,,,,5,20,0.25,No,n/a,Y,,,2024-01-20,28-01-2024,late pickup fee applied
380,NaN,,saralind733@gmail.com,Training,TR,02/24/2024,09:00 AM,10.00,,,STOCKHOLM,email,sheets,Clara,,Poodle,unknown,U,NaN,,raw,handle with care,VIP5,NaN,35,,NaN,,yes,NULL,NaN,02/17/2024,2024/02/24,first visit
381,,mikael åstrom,mikaelås@gmail.com,Grooming,GR,09 Feb 2024,10:00 AM,11.00,09.40,17:47,Stockholm,partner,pos_export,,Milo,n/a,41.9,,unknown,,raw,handle with care,newyear,NULL,40,25%,,sick dog,yes,5 ,late pickup,01/31/2024,Feb 11 2024,
382,LEGACY-FQ7N6W,Karin Lund,karinlun@gmail.com,vet shuttle,n/a,24-04-2024,16:00,18.00,,n/a,Solna,phone,,,Milo,MIXED,,U,,,n/a,handle with care,n/a,5,20,"0,25",,,,NaN,,24-04-2024,28 Apr 2024,
383,, fatima khan ,fatimakh971@email.com,Daycare,DC,Feb 05 2024,08.00,25:00,09:05,,Täby,instagram,export_v2,,Coco,mix,,Unknown,reactive,,,no treats,,0,25,,,,Y,,ok,30/01/2024,08/02/2024,late pickup fee applied
384,LEGACY-XE2IFR,karin lund,karinlun841@email.com,daycare,DC,2024.02.28,09:00,11.00,09:05,17:10,Huddinge,phone,sheets,Hugo,Charlie,MIXED,12kg,Unknown,shy,,raw,NaN,VIP5,,25,"0,25",1,weather,,5 ,ok,2024/02/21,Feb 28 2024,
385,,Ana Garcia,anagarci713@email.com,Boarding,BD,20 Mar 2024,06:00 PM,10:00,n/a,,Nacka,insta,excel,Björn,Luna,NULL,,female,anxious,NULL,hypoallergenic,n/a,,5,60,25%,n/a,n/a,yes,3,,NaN,24-03-2024,VIP
386,,elin svensson,elinsven653@email.com,Grooming,GR,03 Feb 2024,16.00,17:0,NaN,17:39,STOCKHOLM,,,NULL,Max,Poodle,NaN,M,unknown,none,NULL,,newyear,,40,,,sick dog,,NaN,n/a,31-01-2024,03-02-2024,
387,BK_5RNY3NT0, MIKAEL ÅSTRÖM ,mikaelås@email.com,NAIL TRIM,NT,2024-03-15,n/a,11.00,,04:42 PM,n/a,partner,sheets,Clara,Luna,French Bulldog,,U,shy,insulin,raw,,,,15,,1,,N,,late pickup,Mar 14 2024,03/16/2024,
388,BK_SGB3CVFT,NaN,ellaberg709@gmail.com,n/a,NT,24/04/2024,09:00,10.00,,16:32,Sthlm,phone,,Hugo,Bella,,unknown,M,shy,NaN,,,,5,15,"0,25",YES,no show,no,5,,2024/04/19,29/04/2024,first visit
389,,,fridakar224@outlook.com,VET SHUTTLE,VS,Apr 11 2024,08:00,16:00,9:23,17:10,Täby,n/a,form,David,Charlie,NULL,unknown,M,PLAYFUL,antibiotics,,n/a,,10,20,25%,NULL,no show,,NaN,NaN,2024.04.07,2024-16-04,
390,,sara lind,saralind135@email.com,VET SHUTTLE,NaN,27/04/2024,09.00,10.00,,,,,form,Felix,Max,German Shepherd,,F,PLAYFUL,,,n/a,,5,20,,,,,5 ,late pickup,NULL,04/28/2024,
391,,LIN CHEN,linchen@gmail.com,Training,TR,31/01/2024,16.00,18:00,,,Nacka,instagram,,Greta,n/a,German Shepherd,NULL,Unknown,,none,,no treats,,,35,0.25,YES,,,1,n/a,24/01/2024,02/02/2024,
392,LEGACY-J46063,noah eriksson,noaherik618@outlook.com,boarding,NULL,2024-02-27,17:30,09.30,,,Nacka,email,form,,,mix,9.1,Unknown,NULL,,NaN,,,5,60,"0,25",YES,sick dog,,,ok,Feb 26 2024,n/a,first visit
393,LEGACY-KJALZX,MARIA  LOPEZ,NULL,Boarding,BD,2024.02.02,05:30 PM,09.30,,,Huddinge,email,n/a,Felix,Bella,Dachshund,NULL,male,shy,none,,,NaN,,60,0.25,0,NULL,Y,,,2024/01/30,2024.02.04,late pickup fee applied
394,,pedro silva,,Daycare,DC,22 Feb 2024,09.00,11:00 AM,09:06,,,walk-in,form,Felix,,Golden Retriever,7.5,F,,antibiotics,hypoallergenic,separate from big dogs,NULL,,25,"0,25",0,sick dog,,,,,NaN,first visit
395,,sara  lind,saralind694@outlook.com,GROOMING,GR,Feb 11 2024,,10.00,,,Solna,partner,n/a,Greta,,Labrador,,U,unknown,insulin,,,NULL,n/a,40,25%,0,no show,no,5 ,NaN,04-02-2024,Feb 15 2024,late pickup fee applied
396,NaN,karin lund,karinlun@gmail.com,Vet Shuttle,,08-03-2024,04:00 PM,00:00,08:40,NaN,Sundbyberg,insta,export_v2,Elise,NaN,Poodle,NULL,F,shy,none,,,,10,20,0.25,1,no show,,,late pickup,08-03-2024,2024/03/13,
397,BK_8UZLN25D,MIKAEL ASTROM,mikaelås460@gmail.com,VET SHUTTLE,VS,Apr 16 2024,08:00,10:00,09:05,17:12,STOCKHOLM,insta,export_v1,Felix,,n/a,NaN,F,unknown,,,handle with care,newyear,n/a,20,"0,25",No,NaN,yes,5,late pickup,04/14/2024,17-04-2024,
